report_date,cert,total_assets,borrowings
2023-12-31,16198.0,101.0,13.0
2023-12-31,16221.0,1020.0,-3.0
2023-12-31,25795.0,617.0,7.0
2023-12-31,9728.0,438.0,-2.0
2023-12-31,496.0,2091.0,0.0
2023-12-31,26411.0,1180.0,0.0
2023-12-31,15059.0,3965.0,0.0
2023-12-31,5962.0,1770.0,0.0
2023-12-31,26725.0,8831.0,0.0
2023-12-31,9309.0,75.0,0.0
2023-12-31,29710.0,27.0,0.0
2023-12-31,19087.0,343.0,0.0
2023-12-31,17115.0,1155.0,-5.0
2023-12-31,5286.0,4136.0,-157.0
2023-12-31,13232.0,771.0,0.0
2023-12-31,1208.0,22384.0,-229.0
2023-12-31,2804.0,170.0,1.0
2023-12-31,17759.0,686.0,0.0
2023-12-31,8858.0,279.0,0.0
2023-12-31,4297.0,6583782.0,-30025.0
2023-12-31,18227.0,151.0,0.0
2023-12-31,19720.0,83.0,-1.0
2023-12-31,14578.0,1191.0,-2939.0
2023-12-31,24540.0,13186.0,0.0
2023-12-31,15032.0,3573.0,0.0
2023-12-31,12513.0,719.0,-10.0
2023-12-31,16130.0,1470.0,-301.0
2023-12-31,4086.0,1485.0,-86.0
2023-12-31,30332.0,78.0,0.0
2023-12-31,13632.0,1510.0,1.0
2023-12-31,5438.0,452.0,0.0
2023-12-31,17259.0,1406.0,-8.0
2023-12-31,26591.0,4068.0,0.0
2023-12-31,12444.0,174.0,0.0
2023-12-31,18924.0,204.0,0.0
2023-12-31,14247.0,612.0,-145.0
2023-12-31,2805.0,689.0,0.0
2023-12-31,28481.0,136.0,0.0
2023-12-31,20130.0,5508.0,123.0
2023-12-31,29731.0,136.0,0.0
2023-12-31,9172.0,11402.0,-244.0
2023-12-31,26271.0,762.0,0.0
2023-12-31,11431.0,581.0,0.0
2023-12-31,14966.0,1817.0,0.0
2023-12-31,26517.0,10757.0,0.0
2023-12-31,29744.0,2836.0,-4173.0
2023-12-31,28507.0,202.0,0.0
2023-12-31,12331.0,1471.0,0.0
2023-12-31,18258.0,1455.0,-1995.0
2023-12-31,1686.0,1089.0,0.0
2023-12-31,5903.0,53747.0,-2.0
2023-12-31,9325.0,187.0,-554.0
2023-12-31,16976.0,494.0,0.0
2023-12-31,8799.0,38.0,-4.0
2023-12-31,3834.0,283.0,-19.0
2023-12-31,3076.0,151293.0,0.0
2023-12-31,28637.0,40.0,0.0
2023-12-31,30339.0,228.0,0.0
2023-12-31,13565.0,8537.0,-186.0
2023-12-31,17190.0,215.0,-404.0
2023-12-31,16416.0,709.0,8.0
2023-12-31,8141.0,10797.0,0.0
2023-12-31,29764.0,283.0,0.0
2023-12-31,7356.0,1010.0,5.0
2023-12-31,5634.0,217.0,0.0
2023-12-31,29772.0,122.0,0.0
2023-12-31,8850.0,851.0,0.0
2023-12-31,893.0,446.0,23.0
2023-12-31,5131.0,86.0,0.0
2023-12-31,7886.0,638.0,0.0
2023-12-31,492.0,406.0,-54.0
2023-12-31,32773.0,109903.0,-333170.0
2023-12-31,1049.0,532.0,-370.0
2023-12-31,9467.0,2001.0,0.0
2023-12-31,22939.0,3543.0,0.0
