report_date,cert,institution,total_deposits,interest_bearing_cash,noninterest_cash
2023-12-31,32526.0,"AMERICAN SAVINGS BANK, F.S.B.",8199195.0,184383.0,251072.0
2023-12-31,16539.0,METAIRIE BANK & TRUST COMPANY,495283.0,9837.0,4927.0
2023-12-31,10319.0,CITIZENS SAVINGS BANK AND TRUST COMPANY,153863.0,1140.0,13979.0
2023-12-31,1150.0,FIDELITY STATE BANK AND TRUST COMPANY,139259.0,637.0,41770.0
2023-12-31,28914.0,EVERGREEN FEDERAL BANK,523619.0,2730.0,27582.0
2023-12-31,10218.0,"CITIZENS BANK & TRUST CO., HUTCHINSON, MINN.",288535.0,4563.0,348.0
2023-12-31,3250.0,"VERABANK, NATIONAL ASSOCIATION",3619875.0,76547.0,292423.0
2023-12-31,14769.0,DMB COMMUNITY BANK,705630.0,4865.0,6888.0
2023-12-31,9888.0,"DIME BANK, THE",828195.0,8029.0,675.0
2023-12-31,14468.0,FIRST NATIONAL BANK AT DARLINGTON,168907.0,4761.0,11399.0
2023-12-31,17162.0,DAIRY STATE BANK,625972.0,7611.0,51410.0
2023-12-31,769.0,"FARMERS BANK AND SAVINGS COMPANY, THE",388048.0,8955.0,14832.0
2023-12-31,20296.0,JOHNSON BANK,5071491.0,67921.0,188909.0
2023-12-31,9733.0,VANTAGE BANK,59661.0,2272.0,96.0
2023-12-31,421.0,SECURITY STATE BANK,232099.0,4394.0,1235.0
2023-12-31,11448.0,CENTURY BANK,467417.0,8220.0,18970.0
2023-12-31,1409.0,KENSINGTON BANK,322132.0,10830.0,2667.0
2023-12-31,1281.0,WASHINGTON TRUST BANK,8142911.0,138518.0,1006525.0
2023-12-31,698.0,WAYNE BANK,1796859.0,28533.0,37587.0
2023-12-31,3127.0,CITIZENS NATIONAL BANK,549229.0,5329.0,44189.0
2023-12-31,30680.0,FIRST SHORE FEDERAL SAVINGS AND LOAN ASSOCIATION,285005.0,1455.0,28584.0
2023-12-31,2317.0,METHOD BANK,87961.0,2423.0,3738.0
2023-12-31,983.0,COMERICA BANK,67983000.0,,
2023-12-31,22537.0,PEOPLES BANK OF ALABAMA,1153672.0,14826.0,124180.0
2023-12-31,963.0,"HOME TRUST & SAVINGS BANK, THE",240013.0,6639.0,4866.0
2023-12-31,10162.0,FIRST STATE BANK MINNESOTA,79262.0,6324.0,6706.0
2023-12-31,4324.0,FIRST NATIONAL BANK,381533.0,4286.0,61948.0
2023-12-31,4857.0,FIRST UNITED BANK & TRUST,1562142.0,19830.0,29923.0
